ISO,country,unicef_region,income_group,data_year,overweight_national,overweight_national_ll,overweight_national_ul,overweight_male,overweight_female,overweight_urban,overweight_rural,overweight_Q1_poorest,overweight_Q2,overweight_Q3,overweight_Q4,overweight_Q5_richest,overweight_gender_gap,overweight_wealth_gap,overweight_urban_rural_gap
BFA,Burkina Faso,WCA,Low Income,2021.0,1.5,1.2,1.9,1.8,1.2,,,,,,,,0.6000000000000001,,
BDI,Burundi,ESA,Low Income,2020.0,1.5,1.3,1.7,1.6,1.4,,,,,,,,0.20000000000000018,,
CPV,Cabo Verde,WCA,Lower Middle Income,2018.0,6.1,,,6.6,5.6,6.2,5.9,4.7,4.0,6.8,3.8,12.6,1.0,-7.8999999999999995,-0.2999999999999998
KHM,Cambodia,EAP,Lower Middle Income,2021.0,4.1,3.4,5.1,4.7,3.5,5.8,3.2,2.9,2.9,3.5,5.3,6.8,1.2000000000000002,-3.9,-2.5999999999999996
CMR,Cameroon,WCA,Lower Middle Income,2018.0,11.0,9.2,13.0,12.2,9.7,10.3,11.5,10.8,10.0,12.7,10.4,11.3,2.5,-0.5,1.1999999999999993
CAN,Canada,NA ,High Income,2004.0,10.4,,,,,,,,,,,,,,
CAF,Central African Republic,WCA,Low Income,2019.0,1.5,1.2,1.8,1.5,1.5,,,,,,,,0.0,,
TCD,Chad,WCA,Low Income,2022.0,2.2,1.8,2.6,2.4,2.0,,,,,,,,0.3999999999999999,,
CHL,Chile,LAC,High Income,2014.0,9.3,,,10.0,8.7,,,,,,,,1.3000000000000007,,
CHN,China,EAP,Upper Middle Income,2017.0,8.5,,,,,,,,,,,,,,
COL,Colombia,LAC,Upper Middle Income,2016.0,5.7,5.1,6.4,6.7,4.7,,,,,,,,2.0,,
COM,Comoros,ESA,Lower Middle Income,2022.0,4.0,3.3,4.8,3.5,4.5,3.5,4.3,3.8,3.5,3.9,4.4,4.5,-1.0,-0.7000000000000002,0.7999999999999998
COG,Congo,WCA,Lower Middle Income,2014.0,5.9,4.7,7.5,4.8,7.0,7.9,2.7,2.2,6.9,6.1,6.3,9.7,-2.2,-7.499999999999999,-5.2
CRI,Costa Rica,LAC,Upper Middle Income,2018.0,7.5,6.2,9.1,8.2,6.9,7.8,7.1,6.6,7.4,8.2,7.7,8.6,1.299999999999999,-2.0,-0.7000000000000002
CUB,Cuba,LAC,Upper Middle Income,2019.0,10.3,8.7,12.2,11.9,8.7,11.1,8.9,6.5,8.7,9.6,11.6,15.5,3.200000000000001,-9.0,-2.1999999999999993
CZE,Czechia,WE,High Income,2001.0,4.6,4.3,5.0,4.8,4.4,,,,,,,,0.39999999999999947,,
CIV,Cote d'Ivoire,WCA,Lower Middle Income,2021.0,3.4,2.4,4.9,3.8,3.1,4.7,2.3,2.0,3.5,3.3,3.0,6.8,0.6999999999999997,-4.8,-2.4000000000000004
PRK,Democratic People's Republic of Korea,EAP,Low Income,2017.0,2.3,,,2.3,2.3,2.6,1.9,,,,,,0.0,,-0.7000000000000002
COD,Democratic Republic of the Congo,WCA,Low Income,2023.0,3.8,,,4.1,3.4,,,,,,,,0.6999999999999997,,
DJI,Djibouti,ESA,Lower Middle Income,2023.0,4.2,3.0,5.8,4.4,4.0,4.8,2.7,,,,,,0.40000000000000036,,-2.0999999999999996
DOM,Dominican Republic,LAC,Upper Middle Income,2019.0,7.7,6.9,8.6,8.2,7.1,8.0,6.7,4.0,6.6,8.4,9.4,12.0,1.0999999999999996,-8.0,-1.2999999999999998
ECU,Ecuador,LAC,Upper Middle Income,2024.0,4.5,4.1,4.9,4.7,4.3,4.9,3.7,,,,,,0.40000000000000036,,-1.2000000000000002
EGY,Egypt,MENA,Lower Middle Income,2021.0,10.1,9.4,10.8,11.3,8.8,10.8,9.6,7.7,9.5,9.7,11.3,,2.5,,-1.200000000000001
SLV,El Salvador,LAC,Upper Middle Income,2021.0,8.3,,,8.3,8.4,,,,,,,,-0.09999999999999964,,
GNQ,Equatorial Guinea,WCA,Upper Middle Income,2011.0,9.7,,,11.6,7.9,9.3,10.1,14.1,5.3,13.5,8.1,9.1,3.6999999999999993,5.0,0.7999999999999989
ERI,Eritrea,ESA,Low Income,2010.0,2.1,1.8,2.6,2.0,2.3,2.6,1.9,2.4,1.4,1.7,2.7,2.6,-0.2999999999999998,-0.20000000000000018,-0.7000000000000002
EST,Estonia,WE,High Income,2014.0,5.0,3.7,6.7,5.7,4.1,5.4,4.2,9.5,7.0,4.2,4.5,4.2,1.6000000000000005,5.3,-1.2000000000000002
SWZ,Eswatini,ESA,Lower Middle Income,2021.0,9.8,8.5,11.3,10.2,9.5,10.0,9.8,7.9,9.7,9.3,9.8,13.5,0.6999999999999993,-5.6,-0.1999999999999993
ETH,Ethiopia,ESA,Low Income,2019.0,2.3,1.5,3.5,2.4,2.2,2.4,2.3,2.4,2.9,1.6,2.1,2.3,0.19999999999999973,0.10000000000000009,-0.10000000000000009
FJI,Fiji,EAP,Upper Middle Income,2021.0,7.7,6.5,9.1,8.5,6.8,8.4,6.9,8.0,8.2,6.3,9.7,5.7,1.7000000000000002,2.3,-1.5
FIN,Finland,WE,High Income,2023.0,4.3,,,,,,,,,,,,,,
GAB,Gabon,WCA,Upper Middle Income,2020.0,5.0,4.2,6.1,5.2,4.8,5.1,4.8,4.5,3.8,4.2,5.0,8.5,0.40000000000000036,-4.0,-0.2999999999999998
GMB,Gambia,WCA,Low Income,2020.0,2.1,1.7,2.8,2.0,2.3,2.5,1.5,1.5,2.8,1.8,1.2,3.6,-0.2999999999999998,-2.1,-1.0
GEO,Georgia,EECA,Upper Middle Income,2018.0,6.0,4.8,7.5,7.2,4.8,5.6,6.6,3.4,8.9,6.4,5.9,5.3,2.4000000000000004,-1.9,1.0
DEU,Germany,WE,High Income,2016.0,2.9,1.5,5.8,0.7,5.3,3.0,2.9,1.3,0.4,6.8,1.6,1.5,-4.6,-0.19999999999999996,-0.10000000000000009
GHA,Ghana,WCA,Lower Middle Income,2022.0,2.0,1.5,2.5,2.1,1.8,2.2,1.7,1.6,1.3,2.3,2.0,2.9,0.30000000000000004,-1.2999999999999998,-0.5000000000000002
GRC,Greece,WE,High Income,2003.0,13.6,12.2,15.1,13.2,13.9,,,,,,,,-0.7000000000000011,,
GTM,Guatemala,LAC,Upper Middle Income,2015.0,4.9,4.5,5.4,5.1,4.8,5.4,4.7,4.6,4.2,4.6,4.8,7.6,0.2999999999999998,-3.0,-0.7000000000000002
GIN,Guinea,WCA,Lower Middle Income,2022.0,3.3,2.6,4.2,3.5,3.2,,,,,,,,0.2999999999999998,,
GNB,Guinea-Bissau,WCA,Low Income,2019.0,2.2,1.8,2.7,3.1,1.3,,,,,,,,1.8,,
GUY,Guyana,LAC,High Income,2019.0,6.5,4.9,8.5,6.0,7.0,5.7,6.7,4.8,3.8,11.2,6.4,7.7,-1.0,-2.9000000000000004,1.0
HTI,Haiti,LAC,Lower Middle Income,2023.0,3.9,3.4,4.4,4.1,3.6,,,,,,,,0.49999999999999956,,
HND,Honduras,LAC,Lower Middle Income,2019.0,4.5,3.9,5.1,4.4,4.5,5.9,3.6,2.4,3.3,5.6,5.0,8.0,-0.09999999999999964,-5.6,-2.3000000000000003
IND,India,SA,Lower Middle Income,2020.0,3.5,3.4,3.6,3.6,3.4,4.3,3.2,2.7,3.0,3.6,3.9,4.9,0.20000000000000018,-2.2,-1.0999999999999996
IDN,Indonesia,EAP,Upper Middle Income,2023.0,4.3,4.2,4.4,4.5,4.0,,,,,,,,0.5,,
IRN,Iran (Islamic Republic of),MENA,Upper Middle Income,2017.0,2.9,,,3.3,2.6,3.4,2.3,2.4,2.6,2.8,3.6,3.3,0.6999999999999997,-0.8999999999999999,-1.1
IRQ,Iraq,MENA,Upper Middle Income,2018.0,6.1,5.3,6.9,6.3,5.7,6.5,5.1,5.0,5.3,7.9,6.3,6.1,0.5999999999999996,-1.0999999999999996,-1.4000000000000004
IRL,Ireland,WE,High Income,2011.0,10.5,8.1,13.6,12.4,8.6,,,,,,,,3.8000000000000007,,
JAM,Jamaica,LAC,Upper Middle Income,2018.0,5.7,3.9,8.0,5.9,5.4,5.7,5.6,,,,,,0.5,,-0.10000000000000053
JPN,Japan,EAP,High Income,2010.0,1.4,,,1.9,1.1,,,,,,,,0.7999999999999998,,
JOR,Jordan,MENA,Lower Middle Income,2023.0,9.2,7.8,10.8,9.6,8.7,9.3,7.6,7.3,8.3,8.8,11.2,13.4,0.9000000000000004,-6.1000000000000005,-1.700000000000001
KAZ,Kazakhstan,EECA,Upper Middle Income,2015.0,9.3,8.1,10.8,8.7,10.0,11.2,7.6,7.7,7.0,8.9,11.6,12.5,-1.3000000000000007,-4.8,-3.5999999999999996
KEN,Kenya,ESA,Lower Middle Income,2022.0,3.4,3.0,3.8,3.0,3.8,4.2,3.0,2.0,2.8,3.9,3.4,5.0,-0.7999999999999998,-3.0,-1.2000000000000002
KIR,Kiribati,EAP,Lower Middle Income,2018.0,2.1,1.5,3.1,3.3,0.9,2.6,1.6,1.2,0.9,2.4,1.2,5.3,2.4,-4.1,-1.0
KWT,Kuwait,MENA,High Income,2023.0,8.1,7.0,9.3,7.7,8.5,,,,,,,,-0.7999999999999998,,
KGZ,Kyrgyzstan,EECA,Lower Middle Income,2023.0,8.8,7.5,10.3,9.2,8.4,8.4,8.9,8.2,10.5,8.2,6.9,10.4,0.7999999999999989,-2.200000000000001,0.5
LAO,Lao People's Democratic Republic,EAP,Lower Middle Income,2023.0,2.8,,,2.9,2.7,,,,,,,,0.19999999999999973,,
LVA,Latvia,WE,High Income,2021.0,6.5,3.7,11.0,6.4,6.5,3.8,9.9,,,,,,-0.09999999999999964,,6.1000000000000005
LBN,Lebanon,MENA,Lower Middle Income,2023.0,4.4,,,3.9,4.9,,,,,,,,-1.0000000000000004,,
LSO,Lesotho,ESA,Lower Middle Income,2024.0,7.7,5.9,9.9,8.0,7.3,7.5,7.7,,,,,,0.7000000000000002,,0.20000000000000018
LBR,Liberia,WCA,Low Income,2019.0,4.4,3.5,5.5,4.5,4.2,4.7,4.0,3.8,3.7,6.4,4.5,3.3,0.2999999999999998,0.5,-0.7000000000000002
LBY,Libya,MENA,Upper Middle Income,2022.0,4.6,3.9,5.4,4.8,4.4,,,,,,,,0.39999999999999947,,
LTU,Lithuania,WE,High Income,2021.0,4.1,3.9,4.2,4.3,3.8,,,,,,,,0.5,,
MDG,Madagascar,ESA,Low Income,2021.0,1.9,1.5,2.4,2.1,1.6,1.7,1.9,2.1,1.2,2.3,1.8,2.1,0.5,0.0,0.19999999999999996
MWI,Malawi,ESA,Low Income,2020.0,1.4,0.9,1.9,1.6,1.1,,,,,,,,0.5,,
MYS,Malaysia,EAP,Upper Middle Income,2022.0,5.6,4.9,6.4,6.6,4.5,6.0,4.6,,,,,,2.0999999999999996,,-1.4000000000000004
MDV,Maldives,SA,Upper Middle Income,2017.0,4.9,4.0,6.0,6.7,3.0,4.2,5.2,4.8,5.4,5.7,5.8,1.5,3.7,3.3,1.0
MLI,Mali,WCA,Low Income,2024.0,1.4,,,1.6,1.3,,,,,,,,0.30000000000000004,,
MLT,Malta,WE,High Income,2022.0,10.1,8.5,11.9,12.0,8.2,,,,,,,,3.8000000000000007,,
MHL,Marshall Islands,EAP,Upper Middle Income,2017.0,4.1,2.4,6.8,4.9,3.2,4.6,1.3,1.8,2.5,6.6,2.4,6.7,1.7000000000000002,-4.9,-3.3
MRT,Mauritania,WCA,Lower Middle Income,2021.0,1.0,0.7,1.3,1.2,0.8,,,,,,,,0.3999999999999999,,
MUS,Mauritius,ESA,Upper Middle Income,1995.0,6.5,,,,,,,,,,,,,,
MEX,Mexico,LAC,Upper Middle Income,2022.0,7.1,5.4,9.4,6.9,7.3,7.4,6.4,,,,,,-0.39999999999999947,,-1.0
MNG,Mongolia,EAP,Upper Middle Income,2023.0,12.8,,,,,,,,,,,,,,
MNE,Montenegro,EECA,Upper Middle Income,2018.0,7.3,5.0,10.4,6.7,8.0,5.8,10.1,8.0,6.5,6.7,10.5,4.3,-1.2999999999999998,3.7,4.3
MAR,Morocco,MENA,Lower Middle Income,2019.0,3.2,,,2.9,3.6,3.0,3.6,,,,,,-0.7000000000000002,,0.6000000000000001
MOZ,Mozambique,ESA,Low Income,2022.0,3.2,2.6,3.9,3.2,3.1,3.0,3.3,2.1,3.2,3.9,4.0,3.1,0.10000000000000009,-1.0,0.2999999999999998
MMR,Myanmar,EAP,Lower Middle Income,2018.0,0.8,0.6,1.1,1.1,0.5,0.8,0.8,0.5,1.0,0.7,0.8,1.1,0.6000000000000001,-0.6000000000000001,0.0
NAM,Namibia,ESA,Upper Middle Income,2013.0,4.0,3.2,5.0,3.8,4.2,4.8,3.5,2.3,3.7,3.9,6.0,4.9,-0.40000000000000036,-2.6000000000000005,-1.2999999999999998
NRU,Nauru,EAP,High Income,2023.0,8.2,5.6,11.9,8.5,7.9,,,4.6,5.1,12.3,11.1,7.7,0.5999999999999996,-3.1000000000000005,
NPL,Nepal,SA,Lower Middle Income,2022.0,1.3,0.9,2.0,1.6,1.0,1.6,0.9,1.0,0.8,1.7,0.5,3.0,0.6000000000000001,-2.0,-0.7000000000000001
NLD,Netherlands (Kingdom of the),WE,High Income,2009.0,3.8,3.2,4.6,3.6,4.0,,,,,,,,-0.3999999999999999,,
NIC,Nicaragua,LAC,Lower Middle Income,2012.0,8.3,7.3,9.3,8.6,7.9,9.1,7.4,,,,,,0.6999999999999993,,-1.6999999999999993
NER,Niger,WCA,Low Income,2022.0,1.2,0.8,1.7,1.8,0.5,,,,,,,,1.3,,
NGA,Nigeria,WCA,Lower Middle Income,2021.0,1.5,,,1.3,1.6,,,,,,,,-0.30000000000000004,,
