ISO,country,unicef_region,income_group,data_year,wasting_national,wasting_national_ll,wasting_national_ul,wasting_male,wasting_female,wasting_urban,wasting_rural,wasting_Q1_poorest,wasting_Q2,wasting_Q3,wasting_Q4,wasting_Q5_richest,wasting_gender_gap,wasting_wealth_gap,wasting_urban_rural_gap
MDV,Maldives,SA,Upper Middle Income,2017.0,9.1,7.8,10.8,10.1,8.1,10.3,8.7,8.5,9.6,8.9,9.9,9.0,2.0,-0.5,-1.6000000000000014
MLI,Mali,WCA,Low Income,2024.0,5.4,,,6.3,4.4,,,,,,,,1.8999999999999995,,
MLT,Malta,WE,High Income,2022.0,0.4,,,,,,,,,,,,,,
MHL,Marshall Islands,EAP,Upper Middle Income,2017.0,3.5,2.5,5.0,4.6,2.4,3.5,3.8,3.1,7.3,1.8,2.8,2.4,2.1999999999999997,0.7000000000000002,0.2999999999999998
MRT,Mauritania,WCA,Lower Middle Income,2022.0,13.6,,,,,,,,,,,,,,
MUS,Mauritius,ESA,Upper Middle Income,1995.0,15.7,,,,,,,,,,,,,,
MEX,Mexico,LAC,Upper Middle Income,2022.0,1.0,0.6,1.7,1.4,0.6,1.1,0.6,,,,,,0.7999999999999999,,-0.5000000000000001
MNG,Mongolia,EAP,Upper Middle Income,2023.0,2.7,,,,,,,,,,,,,,
MNE,Montenegro,EECA,Upper Middle Income,2018.0,2.2,1.3,3.6,2.4,1.9,1.7,3.1,2.9,3.8,1.1,1.4,2.2,0.5,0.6999999999999997,1.4000000000000001
MAR,Morocco,MENA,Lower Middle Income,2019.0,2.4,,,,,,,,,,,,,,
MOZ,Mozambique,ESA,Low Income,2022.0,3.8,3.1,4.6,4.4,3.2,2.9,4.2,5.8,3.8,2.3,3.5,2.4,1.2000000000000002,3.4,1.3000000000000003
MMR,Myanmar,EAP,Lower Middle Income,2018.0,7.4,,,,,,,,,,,,,,
NAM,Namibia,ESA,Upper Middle Income,2013.0,7.1,6.1,8.4,9.0,5.3,7.3,7.0,9.3,6.1,8.6,5.3,5.0,3.7,4.300000000000001,-0.2999999999999998
NRU,Nauru,EAP,High Income,2023.0,1.3,0.5,3.4,0.6,2.1,,,1.5,1.7,1.5,1.6,0.0,-1.5,1.5,
NPL,Nepal,SA,Lower Middle Income,2022.0,7.0,5.8,8.3,7.6,6.3,6.9,7.1,5.4,6.8,7.1,7.8,8.4,1.2999999999999998,-3.0,0.1999999999999993
NLD,Netherlands (Kingdom of the),WE,High Income,2009.0,1.0,0.8,1.4,1.2,0.9,,,,,,,,0.29999999999999993,,
