ISO,country,unicef_region,income_group,data_year,stunting_national,stunting_national_ll,stunting_national_ul,stunting_male,stunting_female,stunting_urban,stunting_rural,stunting_Q1_poorest,stunting_Q2,stunting_Q3,stunting_Q4,stunting_Q5_richest,stunting_gender_gap,stunting_wealth_gap,stunting_urban_rural_gap
BIH,Bosnia and Herzegovina,EECA,Upper Middle Income,2012.0,8.9,6.9,11.3,8.9,8.9,10.8,7.9,10.1,9.6,6.8,7.6,10.3,0.0,-0.20000000000000107,-2.9000000000000004
BWA,Botswana,ESA,Upper Middle Income,2007.0,28.9,26.6,31.3,31.6,26.3,25.7,32.1,33.9,34.0,30.7,21.5,19.3,5.300000000000001,14.599999999999998,6.400000000000002
BRA,Brazil,LAC,Upper Middle Income,2019.0,8.0,7.1,8.9,9.0,6.9,,,8.5,10.5,8.9,7.2,4.4,2.0999999999999996,4.1,
BRN,Brunei Darussalam,EAP,High Income,2009.0,19.6,17.4,22.1,22.6,16.8,,,,,,,,5.800000000000001,,
BGR,Bulgaria,EECA,High Income,2014.0,7.0,,,9.5,4.1,,,,,,,,5.4,,
BFA,Burkina Faso,WCA,Low Income,2021.0,21.1,19.9,22.4,24.5,17.5,,,,,,,,7.0,,
BDI,Burundi,ESA,Low Income,2024.0,52.8,,,56.6,49.1,,,,,,,,7.5,,
CPV,Cabo Verde,WCA,Lower Middle Income,2018.0,6.0,,,6.2,5.9,4.5,8.6,11.3,5.2,4.2,2.3,6.9,0.2999999999999998,4.4,4.1
KHM,Cambodia,EAP,Lower Middle Income,2021.0,21.9,20.2,23.7,24.5,19.2,16.8,24.7,30.7,22.5,22.7,18.2,12.4,5.300000000000001,18.299999999999997,7.899999999999999
CMR,Cameroon,WCA,Lower Middle Income,2018.0,28.9,27.1,30.8,31.2,26.6,19.8,36.2,40.4,38.7,27.8,20.2,9.1,4.599999999999998,31.299999999999997,16.400000000000002
CAF,Central African Republic,WCA,Low Income,2022.0,37.9,,,40.8,34.9,,,,,,,,5.899999999999999,,
TCD,Chad,WCA,Low Income,2022.0,31.9,30.3,33.6,34.8,29.0,,,,,,,,5.799999999999997,,
CHL,Chile,LAC,High Income,2014.0,1.8,,,2.1,1.6,,,,,,,,0.5,,
CHN,China,EAP,Upper Middle Income,2017.0,4.8,,,,,,,,,,,,,,
COL,Colombia,LAC,Upper Middle Income,2016.0,12.7,11.8,13.7,14.4,11.0,,,,,,,,3.4000000000000004,,
COM,Comoros,ESA,Lower Middle Income,2022.0,18.2,16.5,19.9,19.2,17.1,15.5,19.4,26.3,19.1,15.7,15.6,12.5,2.099999999999998,13.8,3.8999999999999986
COG,Congo,WCA,Lower Middle Income,2014.0,21.2,19.7,22.7,22.4,20.0,17.1,27.9,30.4,24.4,18.3,13.9,14.5,2.3999999999999986,15.899999999999999,10.799999999999997
CRI,Costa Rica,LAC,Upper Middle Income,2018.0,9.0,6.5,12.4,10.2,7.7,10.4,6.0,8.8,8.4,6.8,8.7,13.7,2.499999999999999,-4.899999999999999,-4.4
CUB,Cuba,LAC,Upper Middle Income,2019.0,7.1,5.7,8.8,7.7,6.5,6.8,7.7,9.0,4.5,5.0,7.7,9.1,1.2000000000000002,-0.09999999999999964,0.9000000000000004
CZE,Czechia,WE,High Income,2001.0,2.8,2.5,3.1,3.2,2.3,,,,,,,,0.9000000000000004,,
CIV,Cote d'Ivoire,WCA,Lower Middle Income,2021.0,23.4,21.8,25.1,24.3,22.6,18.0,28.2,30.4,28.4,22.8,17.7,10.9,1.6999999999999993,19.5,10.2
PRK,Democratic People's Republic of Korea,EAP,Low Income,2017.0,19.1,,,18.4,19.9,15.6,24.4,,,,,,-1.5,,8.799999999999999
COD,Democratic Republic of the Congo,WCA,Low Income,2023.0,44.7,,,47.2,42.0,,,,,,,,5.200000000000003,,
DJI,Djibouti,ESA,Lower Middle Income,2023.0,25.5,22.9,28.2,26.9,23.8,20.8,36.2,,,,,,3.099999999999998,,15.400000000000002
DOM,Dominican Republic,LAC,Upper Middle Income,2019.0,6.7,6.0,7.5,7.5,5.9,6.4,7.5,9.6,7.0,5.0,5.1,6.1,1.5999999999999996,3.5,1.0999999999999996
ECU,Ecuador,LAC,Upper Middle Income,2024.0,17.4,16.6,18.3,19.2,15.6,15.3,21.2,,,,,,3.5999999999999996,,5.899999999999999
EGY,Egypt,MENA,Lower Middle Income,2021.0,12.8,12.0,13.7,13.0,12.7,11.8,13.5,16.9,14.6,13.3,10.5,,0.3000000000000007,,1.6999999999999993
SLV,El Salvador,LAC,Upper Middle Income,2021.0,10.0,,,10.9,9.1,,,,,,,,1.8000000000000007,,
GNQ,Equatorial Guinea,WCA,Upper Middle Income,2011.0,26.2,,,30.3,22.2,20.2,31.5,28.4,28.7,35.2,26.5,19.0,8.100000000000001,9.399999999999999,11.3
