ISO,country,year,sdg_region,unicef_reporting_region,wat_bas_nat,wat_lim_nat,wat_none_nat,san_bas_nat,san_lim_nat,san_none_nat,hyg_bas_nat,hyg_lim_nat,hyg_none_nat,all_basic_missing
NGA,Nigeria,2023,Sub-Saharan Africa,Sub-Saharan Africa,35.62,24.72,39.67,42.92,13.88,43.19,23.6,11.68,64.71,False
NIU,Niue,2023,Oceania,East Asia and Pacific,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
NOR,Norway,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
OMN,Oman,2023,Northern Africa and Western Asia,Middle East and North Africa,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
PAK,Pakistan,2023,Central and Southern Asia,South Asia,35.49,38.4,26.11,41.59,39.24,19.17,,,,False
PLW,Palau,2023,Oceania,East Asia and Pacific,89.26,10.74,0.5,89.26,10.74,0.5,83.33,0.5,16.67,False
PAN,Panama,2023,Latin America and the Caribbean,Latin America and Caribbean,59.69,23.9,16.41,23.91,56.22,19.87,23.81,33.67,42.51,False
PNG,Papua New Guinea,2023,Oceania,East Asia and Pacific,46.83,6.43,46.73,46.38,12.0,41.62,11.67,42.76,45.58,False
PRY,Paraguay,2023,Latin America and the Caribbean,Latin America and Caribbean,,,0.5,94.1,,,,,,False
PER,Peru,2023,Latin America and the Caribbean,Latin America and Caribbean,73.67,14.28,12.05,92.89,3.33,3.78,,,23.05,False
PHL,Philippines,2023,Eastern and South-Eastern Asia,East Asia and Pacific,46.27,34.29,19.45,84.79,,,73.04,12.29,14.67,False
POL,Poland,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
PRT,Portugal,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
QAT,Qatar,2023,Northern Africa and Western Asia,Middle East and North Africa,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
KOR,Republic of Korea,2023,Eastern and South-Eastern Asia,East Asia and Pacific,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
MDA,Republic of Moldova,2023,Europe and Northern America,Europe and Central Asia,93.8,5.95,0.5,90.22,4.57,5.21,99.5,0.5,0.5,False
ROU,Romania,2023,Europe and Northern America,Europe and Central Asia,93.88,,,90.82,,,90.82,,,False
RUS,Russian Federation,2023,Europe and Northern America,Europe and Central Asia,,,2.84,,,0.5,,,,True
RWA,Rwanda,2023,Sub-Saharan Africa,Sub-Saharan Africa,54.05,,,69.6,19.54,10.86,,,0.5,False
KNA,Saint Kitts and Nevis,2023,Latin America and the Caribbean,Latin America and Caribbean,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
LCA,Saint Lucia,2023,Latin America and the Caribbean,Latin America and Caribbean,99.5,0.5,0.5,99.5,0.5,0.5,98.92,1.08,0.5,False
VCT,Saint Vincent and the Grenadines,2023,Latin America and the Caribbean,Latin America and Caribbean,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
WSM,Samoa,2023,Oceania,East Asia and Pacific,99.5,0.5,0.5,99.5,0.5,0.5,78.0,22.0,0.5,False
SMR,San Marino,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
STP,Sao Tome and Principe,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,14.72,75.82,7.99,16.19,,,,False
SAU,Saudi Arabia,2023,Northern Africa and Western Asia,Middle East and North Africa,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
SEN,Senegal,2023,Sub-Saharan Africa,Sub-Saharan Africa,72.79,20.35,6.87,77.97,7.14,14.89,21.91,29.59,48.5,False
SRB,Serbia,2023,Europe and Northern America,Europe and Central Asia,98.45,0.5,1.55,98.83,0.5,1.17,84.74,14.21,1.05,False
SYC,Seychelles,2023,Sub-Saharan Africa,Sub-Saharan Africa,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
SLE,Sierra Leone,2023,Sub-Saharan Africa,Sub-Saharan Africa,39.39,10.45,50.17,48.65,39.64,11.71,22.08,30.49,47.43,False
SGP,Singapore,2023,Eastern and South-Eastern Asia,East Asia and Pacific,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
SVK,Slovakia,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
SVN,Slovenia,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
SLB,Solomon Islands,2023,Oceania,East Asia and Pacific,30.97,,,18.78,,,,,,False
SOM,Somalia,2023,Sub-Saharan Africa,Sub-Saharan Africa,52.85,41.67,5.48,,,,,,,False
ZAF,South Africa,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,,,,0.5,,,,True
SSD,South Sudan,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,32.95,36.65,38.3,25.05,18.11,,,False
ESP,Spain,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
LKA,Sri Lanka,2023,Central and Southern Asia,South Asia,87.04,6.18,6.78,89.91,9.96,0.5,87.1,12.16,0.5,False
PSE,State of Palestine,2023,Northern Africa and Western Asia,Middle East and North Africa,99.5,0.5,0.5,97.15,2.33,0.5,,,1.09,False
SDN,Sudan,2023,Northern Africa and Western Asia,Sub-Saharan Africa,43.47,16.8,39.72,,,,7.56,17.57,74.86,False
SWE,Sweden,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,,,,99.5,0.5,0.5,False
CHE,Switzerland,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
SYR,Syrian Arab Republic,2023,Northern Africa and Western Asia,Middle East and North Africa,84.66,,,86.84,,,,,,False
TJK,Tajikistan,2023,Central and Southern Asia,Europe and Central Asia,,,,,,,,,,True
THA,Thailand,2023,Eastern and South-Eastern Asia,East Asia and Pacific,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
TLS,Timor-Leste,2023,Eastern and South-Eastern Asia,East Asia and Pacific,70.28,,,,,,65.72,,,False
TGO,Togo,2023,Sub-Saharan Africa,Sub-Saharan Africa,65.38,,,16.82,31.94,51.24,17.0,0.5,83.0,False
TKL,Tokelau,2023,Oceania,East Asia and Pacific,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
TON,Tonga,2023,Oceania,East Asia and Pacific,95.03,,,95.52,,,83.59,,,False
TUN,Tunisia,2023,Northern Africa and Western Asia,Middle East and North Africa,,,6.28,,,0.5,,,0.5,True
TKM,Turkmenistan,2023,Central and Southern Asia,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
TCA,Turks and Caicos Islands,2023,Latin America and the Caribbean,Latin America and Caribbean,98.71,1.29,0.5,98.71,1.29,0.5,98.71,1.29,0.5,False
TUV,Tuvalu,2023,Oceania,East Asia and Pacific,76.55,23.45,0.5,85.76,,,96.05,3.95,0.5,False
TUR,Türkiye,2023,Northern Africa and Western Asia,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
UGA,Uganda,2023,Sub-Saharan Africa,Sub-Saharan Africa,54.77,33.44,11.79,74.75,23.05,2.2,38.55,16.32,45.13,False
UKR,Ukraine,2023,Europe and Northern America,Europe and Central Asia,91.18,3.94,4.88,,,2.72,81.72,,,False
ARE,United Arab Emirates,2023,Northern Africa and Western Asia,Middle East and North Africa,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
TZA,United Republic of Tanzania,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,23.24,44.4,52.64,2.96,15.03,,,False
USA,United States of America,2023,Europe and Northern America,North America,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
URY,Uruguay,2023,Latin America and the Caribbean,Latin America and Caribbean,67.49,0.5,32.51,97.0,3.0,0.5,99.5,0.5,0.5,False
UZB,Uzbekistan,2023,Central and Southern Asia,Europe and Central Asia,70.01,15.28,14.71,79.74,6.4,13.86,91.6,4.8,3.6,False
VUT,Vanuatu,2023,Oceania,East Asia and Pacific,,,,,,,,,,True
VEN,Venezuela (Bolivarian Republic of),2023,Latin America and the Caribbean,Latin America and Caribbean,,,,,,,,,,True
VNM,Viet Nam,2023,Eastern and South-Eastern Asia,East Asia and Pacific,67.79,,,93.35,,,71.93,,,False
YEM,Yemen,2023,Northern Africa and Western Asia,Middle East and North Africa,,,,,,,,,,True
ZMB,Zambia,2023,Sub-Saharan Africa,Sub-Saharan Africa,79.07,5.04,15.89,,,17.12,96.85,0.5,3.15,False
ZWE,Zimbabwe,2023,Sub-Saharan Africa,Sub-Saharan Africa,69.86,19.71,10.43,93.92,6.08,0.5,76.64,16.2,7.15,False
