ISO,country,year,sdg_region,unicef_reporting_region,wat_bas_nat,wat_lim_nat,wat_none_nat,san_bas_nat,san_lim_nat,san_none_nat,hyg_bas_nat,hyg_lim_nat,hyg_none_nat
DEU,Germany,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
GHA,Ghana,2023,Sub-Saharan Africa,Sub-Saharan Africa,78.47856233373459,3.711374033033465,17.81006363323195,58.73274718716522,23.93775992247843,17.32949289035635,53.55722143347601,8.146839365927988,38.295939200596
GIB,Gibraltar,2023,Europe and Northern America,nan,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
GRD,Grenada,2023,Latin America and the Caribbean,Latin America and Caribbean,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
GTM,Guatemala,2023,Latin America and the Caribbean,Latin America and Caribbean,,,30.02711340454334,72.14782517898561,,,,,
GIN,Guinea,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,41.88792769170595,52.12563814968688,34.20373272444114,13.67062912587198,,,62.40156384947159
GNB,Guinea-Bissau,2023,Sub-Saharan Africa,Sub-Saharan Africa,63.16560820713239,2.271617000488526,34.56277479237909,36.88324377137274,22.96042989741084,40.15632633121642,74.69467513434293,7.083536883243781,18.22178798241329
GUY,Guyana,2023,Latin America and the Caribbean,Latin America and Caribbean,,,,,,,,,
HTI,Haiti,2023,Latin America and the Caribbean,Latin America and Caribbean,,,,,,,,,
HND,Honduras,2023,Latin America and the Caribbean,Latin America and Caribbean,78.06818021588333,0.5,21.93181978411667,89.48810656250498,,,,,
HUN,Hungary,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
IND,India,2023,Central and Southern Asia,South Asia,94.90666384299038,0.5,5.093336157009617,84.34394505766977,2.682239286940785,12.97381565538944,52.891226,22.552532,24.556242
IDN,Indonesia,2023,Eastern and South-Eastern Asia,East Asia and Pacific,75.5155541786446,11.07215989891267,13.41228592244272,70.61859970972182,15.74375963388479,13.63764065639339,68.73670147130963,0.5,31.26329852869037
IRN,Iran (Islamic Republic of),2023,Central and Southern Asia,Middle East and North Africa,,,,,,,,,
IRQ,Iraq,2023,Northern Africa and Western Asia,Middle East and North Africa,60.25305850724508,24.31729774436338,15.42964374839154,56.63306910004039,34.13139405042386,9.235536849535748,66.4320550639135,21.83631442523981,11.7316305108467
ISR,Israel,2023,Northern Africa and Western Asia,Middle East and North Africa,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
ITA,Italy,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
JAM,Jamaica,2023,Latin America and the Caribbean,Latin America and Caribbean,94.88616764350097,,,95.71732079960252,,,99.5,0.5,0.5
JOR,Jordan,2023,Northern Africa and Western Asia,Middle East and North Africa,99.5,0.5,0.5,,,0.5,,,
KEN,Kenya,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,,,,,,,
KIR,Kiribati,2023,Oceania,East Asia and Pacific,,,24.19893314506908,66.16343086436211,,,86.78666666666668,6.989999999999981,6.223333333333343
KWT,Kuwait,2023,Northern Africa and Western Asia,Middle East and North Africa,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
KGZ,Kyrgyzstan,2023,Central and Southern Asia,Europe and Central Asia,,,,,,,,,
LAO,Lao People's Democratic Republic,2023,Eastern and South-Eastern Asia,East Asia and Pacific,49.14277621785655,27.77553927152152,23.08168451062193,31.55259,,,,,39.62664928108261
LVA,Latvia,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
LBN,Lebanon,2023,Northern Africa and Western Asia,Middle East and North Africa,,,,,,,,,
LSO,Lesotho,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,,,,,,,
LBR,Liberia,2023,Sub-Saharan Africa,Sub-Saharan Africa,55.04277966100069,,,,,,67.62323429457818,,
